İspanyanın bulunduğu yarımadanın adı nedir?,İber Yarımadası,Sina Yarımadası,Yucatan Yarımadası,İskandinav Yarımadası,1,2
İspanya NATOya hangi yıl katılmıştır?,1981,1982,1983,1984,2,3
Aşağıdakilerden hangisi İspanyanın şehirlerindenbirisi değildir?,Madrid,Barcelona,Valencia,Lizbon,4,1
İspanya ve Fasın arasında bulunan Akdenizi ve Atlas Okyanusunu birbirine bağlayan boğazın adı nedir?,Cebelitarık,Bering,Messina,Macellan,1,2
İspanya futbol takımı kazandığı tek dünya kupasını hangi yıl almıştır?,2002,2006,2010,2014,3,1
Mevcut İspanya Kralı kimdir?,12. Alfonso,13. Alfonso,1. Juan Carlos,6. Felipe,4,3
İspanyada bağımsızlık referandumu düzenleyen bölge neresidir?,Aragon,Katalonya,Endülüs,Galiçya,2,3
Aşağıdakilerden hangisi İspanyanın komşularından birideğildir?,Portekiz,Andorra,İtalya,Fransa,3,1
2017 yılının en çok dinlenen İspanyolca şarkı hangisidir?,Amor Mio,Despacito,Shape Of You,Ay Vamos,2,2
İspanyolların yaptığı güç uykusu anlamınagelen siesta hangi saatler arasında yapılır?,9-12,12-16,16-19,19-22,2,2
